artist,artist_id,date
Ryan Montbleau,5Q2ZtOZ0vOdtcjGDOq6ZQc,2019-05-12
John Mayer,0hEurMDQu99nJRq8pTxO14,2019-05-12
Mountain Man,5kmPNusdo1mCTyz4u1uEGm,2019-05-12
Angus & Julia Stone,4tvKz56Tr39bkhcQUTO0Xr,2019-05-12
Aaron Krause,52MFUXZatn0KsT2bdPQI2a,2019-05-12
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,2019-05-12
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,2019-05-12
Eddie Berman,7FfxvcUIbQ1VxrApeoq8ql,2019-05-12
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,2019-05-12
Megan Davies,09kCHZp9iFO2FJNb9lR6G5,2019-05-12
Lotte Kestner,0LmmhAkoebSsbFfgCybcGI,2019-05-12
Kina Grannis,7h4j9YTJJuAHzLCc3KCvYu,2019-05-12
Run River North,0INDB6Snts5NDbzh8jC3lk,2019-05-12
Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,2019-05-12
Imaginary Future,470WlqN9HSRDGNaMufeHHF,2019-05-12
Twin Bandit,0PFFKJfJZU5TbgQXIw8cBr,2019-05-12
Saint Sister,7ufZdjYTNe1vzA9Z6Fek14,2019-05-12
Gardiner Sisters,3J28FLi8jjXtUGWf69cP7I,2019-05-12
Lissie,3j4FHbC5zwmYGJ7r0ZgaMt,2019-05-12
Julia Sheer,4jHWpUyRI2rzJVimtasEBF,2019-05-12
The Mayries,38SWPOPO1YqxUPnT4AAoID,2019-05-12
Jasmine Thompson,2TL8gYTNgD6nXkyuUdDrMg,2019-05-12
I'm With Her,3oXddLOOjkoUuC2sX1RMdr,2019-05-12
Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,2019-05-12
Overcoats,2pst3pDewxsl4kJERuDZpp,2019-05-12
Trampled by Turtles,3GjVVVcFmUgEJEAAsbGkf4,2019-05-12
Bahamas,4C50EbCS11M0VbGyH3OfLt,2019-05-12
Noah Guthrie,6b0Wy4mw8ePj9w2EX3s4V3,2019-05-12
The Staves,5G49Sq5mMzAkGL4ZP6eVPY,2019-05-12
Us The Duo,3QGKsAfhZdldQCLuLjk6zl,2019-05-12
MisterWives,5ivCbtrcD5N4rD337xIb2z,2019-05-12
Boyce Avenue,7CQwac16i1W5ej8YpuL3dv,2019-05-12
First Aid Kit,21egYD1eInY6bGFcniCRT1,2019-05-12
