artist,artist_id
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm
Toto,0PFtn5NtBbbUNbU9EAmIWF
The Who,67ea9eGLXYMsO2eYQRui3w
Eurythmics,0NKDgy9j66h3DLnN8qu1bB
Journey,0rvjqX7ttXeg3mTy8Xscbt
REO Speedwagon,55vs7NT1KxcFjbMC4y202E
The Clash,3RGLhK1IP9jnYFH4BRFJBS
Dead Or Alive,5WWSL6rElJeUk3Uc1S2RyD
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e
The Bangles,51l0uqRxGaczYr4271pVIC
AC/DC,711MCceyCBcFnzjGY4Q7Un
Survivor,26bcq2nyj5GB7uRr558iQg
The Police,5NGO30tJxFlKixkPSgXcFE
Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY
Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H
Bon Jovi,58lV9VcRSjABbAbfWS6skp
Joan Jett & The Blackhearts,1Fmb52lZ6Jv7FMWXXTPO3K
Mötley Crüe,0cc6vw3VN8YlIcvr1v7tBL
Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY
Whitney Houston,6XpaIBNiVzIetEPCWDvAFP
George Michael,19ra5tSw0tWufvUp8GotLo
Kenny Loggins,3Y3xIwWyq5wnNHPp5gPjOW
The Pointer Sisters,2kreKea2n96dXjcyAU9j5N
DEVO,0UKfenbZb15sqhfPC6zbt3
Men At Work,0f3EsoviYnRKTkmayI3cux
Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok
New Kids On The Block,55qiaow2sDYtjqu1mwRua6
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU
Wham!,5lpH0xAS4fVfLkACg9DAuM
a-ha,2jzc5TC5TVFLXQlBNiIUzE
Bryan Adams,3Z02hBLubJxuFJfhacLSDc
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC
Rick Astley,0gxyHStUsqpMadRV0Di1Qt
Queen,1dfeR4HaWDbWqFHLkxsg1d
The Outfield,1zxDewzd2j1ZdSBGaYcr0y
Nena,6Tz0QRoe083BcOo2YbG9lV
Scorpions,27T030eWyCQRmDyuvr1kxY
A Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt
Paul Simon,2CvCyf1gEVhI0mX6aFXmVI
Starship,0kObWap02DEg9EAJ3PBxzf
Alice Cooper,3EhbVgyfGd7HkpsagwL9GS
The Romantics,3daM7asS0gCFvyLemNx2EE
Rockwell,3xs0LEzcPXtgNfMNcHzLIP
Billy Ocean,5IDs1CK15HegSAhGEbSYXo
Bill Medley,1XE70WwxhnrXNAJYQQ9ygx
The Stone Roses,1lYT0A0LV5DUfxr6doRP3d
Run–D.M.C.,3CQIn7N5CuRDP8wEI7FiDA
Europe,7Js6Lde8thlIHXggv2SCBz
Matthew Wilder,3bmFPbLMiLxtR9tFrTcKcP
Prince,5a2EaR3hamoenG9rDuVn8j
Pat Benatar,43mhFhQ4JAknA7Ik1bOZuV
Deniece Williams,5jNGQ7VOU87x5402JjhTtd
Berlin,2aS6jYh7ysTL1ZUsHneNgM
Quiet Riot,1dLWg6m8RRhizsdqJbhyj3
Loverboy,2CLVPk9FcywjClBcTvWPkT
Steve Perry,5xQKoGD7Ql92fWd1uWwKkf
Eddie Money,4Tw2N3wdvJPGEU7JqMxFfE
Roy Orbison,0JDkhL4rjiPNEp92jAgJnS
Bonnie Tyler,0SD4eZCN4Kr0wQk56hCdh2
Gaten Matarazzo,5TLldRzO16khcP3zwBsBB6
Teena Marie,61UT1Zj9dFgPAjZfwnsqsb
Madonna,6tbjWDEIzxoDsBA1FuhfPW
"""Weird Al"" Yankovic",1bDWGdIC2hardyt55nlQgG
Corey Hart,0smy8yDrRoI4CnhpOuthg0
Huey Lewis & The News,7A9yZMTrFZcgEWAX2kBfK6
"Ray Parker, Jr.",0NyzfcGDZZ6GM25EBG9BYK
Howard Jones,6loBF9iQdE11WSX29fNKqY
John Mellencamp,3lPQ2Fk5JOwGWAF3ORFCqH
Hogland,5s21IKPvmxRf9WxpO8H5UB
Sigala,1IueXOQyABrMOprrzwQJWN
Alan Walker,7vk5e3vY1uw9plTHJAMwjN
Kygo,23fqKkggKUBHNkbKtXEls4
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ
Gaullin,1aQwKFn00nswXRDUDipm0K
John De Sohn,3TVjdmhfFoYJLgBEkkZTBm
Avicii,1vCWHaC5f2uS3yhpwWbIA6
CamelPhat,240wlM8vDrf6S4zCyzGj2W
Herve Pagez,31JFnMfmvwzZGdEnXaKGek
LIZOT,12A83CWwFiyXy90ScLWPIe
Wahlstedt,7yOWqfe8iP613Ne5SV9XPP
The Chainsmokers,69GGBxA162lTqCwzJG5jLp
JOWST,2m0y0cDl1US03sYgxv9r6s
COY,5tbKiV0G6Xx529nPcTapgF
Axel Johansson,2xW3pBjCngD69hC1wIUgjA
Drenchill,3nmaO18tcMzfrrR7sdJHnH
Hardwell,6BrvowZBreEkXzJQMpL174
Passion Pit,7gjAu1qr5C2grXeQFFOGeh
Sick Individuals,0XqFDQJjqW5PfhfBCb53LR
Ben Ambergen,2YgyIHbFLxiQrpTOeKmEv2
P!nk,1KCSPY1glIKqW2TotWuXOR
MEDUZA,0xRXCcSX89eobfrshSVdyu
Sean Finn,5xUacP1mVGfiY7Zr9RskmS
Foxa,6lmt4U7hMQhnQzqpDJ1Tor
Dynoro,3v6Ji4uoWtKRkhuDUaxi9n
Hayes,5YeNR0H8X50Z8ui66jFAUD
Ina Wroldsen,7hssUdpvtY5oiARaUDgFZ3
State of Sound,05o1zW8b6PV6rEquXr74sB
Calvin Harris,7CajNmpbOovFoOoasH2HaY
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai
Andrew Roman,5m4tDVujm5sy8RxOMimDQk
K-391,6pWcSL9wSJZQ9ne0TnhdWr
Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk
XO Cupid,1Fy4Vnoq3HspYLrgEs9VNc
Ludvigsson,3oa1ydh8eLVXesBUwIfBWQ
Charlie Who?,6wbnrM9ATvOxJEH3Yh7vWx
Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg
French Montana,6vXTefBL93Dj5IqAWq6OTv
Digital Farm Animals,5fyDppLDl1juIu1BcUT5zh
Vicetone,0daugAjUgbJSqdlyYNwIbT
SJUR,1X6dfPmF8f5C5EW3WIGfvm
Different Heaven,0pCGA9tdtbWwo1pKIs0CFx
Erlandsson,3mkANE8kTZpm5SXJWCmihm
Pedro Capó,4QVBYiagIaa6ZGSPMbybpy
Pelago,5kgwb87hriOMQstPRdvInn
Enzo Ingrosso,6F1Ynxvudm3avEoQ1sdWq2
Winati,7hsdPMApV4JTkBUUL4ZWMk
Alex Fosse,17BO6YsrjL8HHULcAmIH1E
Marshmello,64KEffDW9EtZ1y2vBYgq8T
Dayvi,2TWBei99x2tV70bdYbWdAf
Tom Ferry,7nLgDxwtRUTbagZKa9aaVA
RudeLies,7hf6L4LN1RTVN66IdBVpPr
Alex Mattson,1AqQ7buD0q6SRbQtYQUnou
Discrete,7arwEayqcKWkzDmGEB7xov
TooManyLeftHands,5tCPpDoXfTKy5yTongtDAT
Davai,0xZvYTiM5QT94j1abOm0nC
Wave Wave,2jeqYJH4s0yEiqBpfer8s9
Tiësto,2o5jDhtHVPhrJdv3cEQ99Z
Peking Duk,0UZ1nu3kcdNlCoiKRjmSSY
Vinil,4B9njk5H0MezHq02ZrF6SA
Famba,5hXPnS34O3Kq3O8dkaE9FM
R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ
Julien Earle,31s2O69SopBJilGw6u6CYu
Aaron Smith,77qukKzmdI5BeMBR7WGUrN
Lost Kings,3hyEbRtp617pNCuuQjyOmc
Valerie Broussard,6eVWXmKBW7Iltub01D9R1c
Regard,4ofCBoyEiGSePFAG500xev
Hellberg,1kgxTtyF91VaqLD3J6Krd5
Boy & Bear,2NqgE99Ll5vOTvmbN7O2R6
Dizzy,0g3BS5QoR5r6pOAg1tvwXv
